GEO_ID,CTSTATENAME,POPCHG20202022,Percentage_Population_Change,Percentage_Total_Built_2020_or_later,NPOPCHG_2020,NPOPCHG2021,NPOPCHG2022,POPESTIMATE2020,POPESTIMATE2022
0500000US01001,"Autauga County, Alabama",1233,0.064369044,0.021960994,376,308,549,56145,59759
0500000US01003,"Baldwin County, Alabama",18938,0.074788366,0.082595175,5722,6142,7074,229287,246435
0500000US01005,"Barbour County, Alabama",-322,0.004758225,-0.013095287,-68,-421,167,24589,24706
0500000US01007,"Bibb County, Alabama",-355,-0.005917962,-0.016037224,-177,187,-365,22136,22005
0500000US01009,"Blount County, Alabama",449,0.028214033,0.007757563,39,-17,427,57879,59512
0500000US01011,"Bullock County, Alabama",-262,0.02265437,-0.026263031,-168,-16,-78,9976,10202
0500000US01013,"Butler County, Alabama",-378,-0.04378589,-0.01938064,3,-176,-205,19504,18650
0500000US01015,"Calhoun County, Alabama",-1052,0.0204373,-0.009271255,-601,-562,111,113469,115788
0500000US01017,"Chambers County, Alabama",-936,0.03721284,-0.028480146,-379,-199,-358,32865,34088
0500000US01019,"Cherokee County, Alabama",370,-0.037727238,0.014071651,40,54,276,26294,25302
0500000US01021,"Chilton County, Alabama",917,0.033493254,0.020654549,84,208,625,44397,45884
0500000US01023,"Choctaw County, Alabama",-339,0.001691094,-0.027299082,-159,-70,-110,12418,12439
0500000US01025,"Clarke County, Alabama",-826,-0.03331759,-0.035464342,-360,-266,-200,23291,22515
0500000US01027,"Clay County, Alabama",-166,0.082824893,-0.012660159,-153,-21,8,13112,14198
0500000US01029,"Cleburne County, Alabama",298,0.025322376,0.01991047,15,85,198,14967,15346
0500000US01031,"Coffee County, Alabama",1849,0.029588578,0.034736051,591,624,634,53230,54805
0500000US01033,"Colbert County, Alabama",904,0.047319124,0.01631445,170,320,414,55411,58033
0500000US01035,"Conecuh County, Alabama",-551,-0.054425787,-0.046493967,-204,-233,-114,11851,11206
0500000US01037,"Coosa County, Alabama",-202,-0.045446009,-0.018967136,-27,25,-200,10650,10166
0500000US01039,"Covington County, Alabama",-57,0.018196588,-0.001543461,-152,35,60,36930,37602
0500000US01041,"Crenshaw County, Alabama",-270,-0.047949711,-0.019735399,-130,-109,-31,13681,13025
0500000US01043,"Cullman County, Alabama",3405,0.072768148,0.040288706,871,1487,1047,84515,90665
0500000US01045,"Dale County, Alabama",-44,0.011948773,-0.000898711,-335,159,132,48959,49544
0500000US01047,"Dallas County, Alabama",-2491,0.018532883,-0.069006593,-1084,-609,-798,36098,36767
0500000US01049,"DeKalb County, Alabama",502,0.00474476,0.007005498,152,181,169,71658,71998
0500000US01051,"Elmore County, Alabama",2293,0.090131211,0.027909638,583,884,826,82158,89563
0500000US01053,"Escambia County, Alabama",-302,0.010611615,-0.008323916,-288,-22,8,36281,36666
0500000US01055,"Etowah County, Alabama",-448,0.007003937,-0.004376239,-89,-308,-51,102371,103088
0500000US01057,"Fayette County, Alabama",-250,-0.007573425,-0.015393141,-38,-175,-37,16241,16118
0500000US01059,"Franklin County, Alabama",-223,0.013489066,-0.007077792,-80,-79,-64,31507,31932
0500000US01061,"Geneva County, Alabama",189,0.01408504,0.007156109,102,-29,116,26411,26783
0500000US01063,"Greene County, Alabama",-394,-0.071088861,-0.04931164,-114,-110,-170,7990,7422
0500000US01065,"Hale County, Alabama",-172,-0.005112474,-0.011724608,1,-31,-142,14670,14595
