GEO_ID,Geographic_Area_Name,Estimate_Total,Percentage_Total_Built_2020_or_later,Percentage_Total_Built_2010_to_2019,Percentage_Total_Built_2000_to_2009,Percentage_Total_Built_1990_to_1999,Percentage_Total_Built_1980_to_1989,Percentage_Total_Built_1970_to_1979,Percentage_Total_Built_1960_to_1969,Percentage_Total_Built_1950_to_1959,Percentage_Total_Built_1940_to_1949,Percentage_Total_Built_1939_or_earlier
0500000US01003,"Baldwin County, Alabama",132299,0.0565,0.1585,0.2738,0.1784,0.1573,0.0887,0.0448,0.0224,0.0106,0.0091
0500000US01015,"Calhoun County, Alabama",53408,0.0056,0.0594,0.1024,0.1463,0.133,0.1914,0.1022,0.1446,0.05,0.0652
0500000US01043,"Cullman County, Alabama",39893,0.0272,0.1269,0.1178,0.1523,0.1392,0.1798,0.1109,0.0481,0.0459,0.052
0500000US01049,"DeKalb County, Alabama",31022,0.0063,0.0805,0.1286,0.1746,0.2006,0.141,0.1111,0.09,0.0207,0.0467
0500000US01051,"Elmore County, Alabama",37379,0.031,0.2013,0.1749,0.2229,0.1319,0.1101,0.0673,0.043,0.0098,0.0079
0500000US01055,"Etowah County, Alabama",47642,0.0105,0.0671,0.115,0.1187,0.1312,0.179,0.1091,0.1301,0.0703,0.0691
0500000US01069,"Houston County, Alabama",50207,0.0191,0.1247,0.156,0.1519,0.1252,0.1788,0.0927,0.0816,0.0377,0.0323
0500000US01073,"Jefferson County, Alabama",310678,0.0138,0.0809,0.1187,0.1002,0.0958,0.1725,0.1338,0.1343,0.054,0.096
0500000US01077,"Lauderdale County, Alabama",44914,0.0143,0.0881,0.1213,0.1655,0.1278,0.167,0.1572,0.0878,0.0188,0.0522
0500000US01081,"Lee County, Alabama",79626,0.0333,0.2125,0.2287,0.1699,0.122,0.1048,0.0534,0.0386,0.0172,0.0197
0500000US01083,"Limestone County, Alabama",44305,0.0463,0.2492,0.1674,0.1416,0.111,0.082,0.0816,0.069,0.0165,0.0352
0500000US01089,"Madison County, Alabama",179336,0.0425,0.1526,0.1971,0.1469,0.141,0.0943,0.138,0.0543,0.0113,0.022
0500000US01095,"Marshall County, Alabama",41767,0.0175,0.0832,0.1253,0.2008,0.1749,0.1317,0.1314,0.0588,0.0463,0.03
0500000US01097,"Mobile County, Alabama",186219,0.0084,0.0873,0.1124,0.1191,0.1476,0.2133,0.1108,0.1202,0.0411,0.04
0500000US01101,"Montgomery County, Alabama",106191,0.0129,0.0655,0.1072,0.1444,0.1442,0.1965,0.1065,0.1383,0.0247,0.0597
0500000US01103,"Morgan County, Alabama",53846,0.012,0.0745,0.1202,0.1707,0.1751,0.1777,0.1364,0.0808,0.0296,0.0229
0500000US01115,"St. Clair County, Alabama",39257,0.0295,0.1935,0.2343,0.1975,0.0994,0.1279,0.0329,0.041,0.0234,0.0205
0500000US01117,"Shelby County, Alabama",92222,0.0253,0.1686,0.2645,0.2236,0.1409,0.1119,0.0318,0.0117,0.0115,0.0103
0500000US01121,"Talladega County, Alabama",38544,0.0133,0.0897,0.1306,0.1866,0.1129,0.1242,0.1093,0.1296,0.055,0.0489
0500000US01125,"Tuscaloosa County, Alabama",104662,0.0194,0.1983,0.2242,0.1618,0.093,0.1325,0.077,0.0373,0.0189,0.0375
0500000US02020,"Anchorage Municipality, Alaska",120871,0.0026,0.0697,0.1314,0.116,0.2515,0.2684,0.0953,0.0501,0.006,0.009
0500000US02090,"Fairbanks North Star Borough, Alaska",42685,0.0099,0.1109,0.1648,0.1445,0.1797,0.2533,0.0643,0.0563,0.0097,0.0068
0500000US02170,"Matanuska-Susitna Borough, Alaska",51178,0.0148,0.2229,0.2707,0.1417,0.1812,0.1179,0.0325,0.0136,0.0038,0.0009
